# G,P S,G S,# P,gt,ht,phi,l_out,size,lay,# Ep,B E,B E Ac,ht,phi,Ac,Er
5,4x4,4,3,0,0,2,0,64,1,200,197,98.23%,0,2,98.05%,1.95%
5,4x4,4,3,0,0,2,0,64,1,200,197,98.23%,1,2,96.00%,4.00%
5,4x4,4,3,0,0,2,0,64,1,200,197,98.23%,2,2,96.51%,3.49%
5,4x4,4,3,0,0,2,0,64,1,200,197,98.23%,3,2,96.54%,3.46%
5,4x4,4,3,0,0,2,0,64,1,200,197,98.23%,4,2,96.48%,3.52%
5,4x4,4,3,0,0,2,0,64,1,200,197,98.23%,6,2,96.52%,3.48%
5,4x4,4,3,0,0,2,0,64,1,200,197,98.23%,8,2,96.53%,3.47%
,,,,,,,,,,,,,,,,
2,4x4,4,3,0,0,2,0,64,1,200,178,95.05%,1,2,92.25%,7.75%
3,4x4,4,3,0,0,2,0,64,1,200,159,97.30%,1,2,91.77%,8.23%
4,4x4,4,3,0,0,2,0,64,1,200,194,98.22%,1,2,94.78%,5.22%
5,4x4,4,3,0,0,2,0,64,1,200,197,98.23%,1,2,96.00%,4.00%
6,4x4,4,3,0,0,2,0,64,1,158,107,98.20%,1,2,95.60%,4.40%
8,4x4,4,3,0,0,2,0,64,1,200,196,98.53%,1,2,91.15%,8.85%
10,4x4,4,3,0,0,2,0,64,1,200,191,98.73%,1,2,90.72%,9.28%
,,,,,,,,,,,,,,,,
5,2x2,4,3,0,0,2,0,64,1,200,169,95.10%,1,2,69.60%,30.40%
5,3x3,4,3,0,0,2,0,64,1,200,200,97.80%,1,2,90.15%,9.85%
5,4x4,4,3,0,0,2,0,64,1,200,197,98.23%,1,2,96.00%,4.00%
5,5x5,4,3,0,0,2,0,64,1,200,171,98.33%,1,2,92.60%,7.40%
5,6x6,4,3,0,0,2,0,64,1,200,171,98.70%,1,2,96.93%,3.07%
5,8x8,4,3,0,0,2,0,64,1,177,126,98.82%,1,2,97.01%,2.99%
5,10x10,4,3,0,0,2,0,64,1,189,138,98.72%,1,2,96.46%,3.54%
,,,,,,,,,,,,,,,,
5,4x4,2,3,0,0,2,0,64,1,200,184,98.58%,1,2,97.27%,2.73%
5,4x4,3,3,0,0,2,0,64,1,200,182,98.42%,1,2,93.69%,6.31%
5,4x4,4,3,0,0,2,0,64,1,200,197,98.23%,1,2,96.00%,4.00%
5,4x4,5,3,0,0,2,0,64,1,200,160,98.07%,1,2,92.91%,7.09%
5,4x4,6,3,0,0,2,0,64,1,200,198,97.58%,1,2,92.27%,7.73%
5,4x4,8,3,0,0,2,0,64,1,200,189,96.55%,1,2,84.76%,15.24%
5,4x4,10,3,0,0,2,0,64,1,200,163,96.38%,1,2,74.13%,25.87%
,,,,,,,,,,,,,,,,
5,4x4,4,2,0,0,2,0,64,1,200,151,98.33%,1,2,93.12%,6.88%
5,4x4,4,3,0,0,2,0,64,1,200,197,98.23%,1,2,96.00%,4.00%
5,4x4,4,4,0,0,2,0,64,1,200,199,98.40%,1,2,94.95%,5.05%
5,4x4,4,5,0,0,2,0,64,1,200,183,98.12%,1,2,95.15%,4.85%
5,4x4,4,6,0,0,2,0,64,1,,,,1,2,,
5,4x4,4,8,0,0,2,0,64,1,,,,1,2,,
5,4x4,4,10,0,0,2,0,64,1,,,,1,2,,
,,,,,,,,,,,,,,,,
5,4x4,4,3,0,0,0,0,64,1,200,150,98.57%,1,0,94.65%,5.35%
5,4x4,4,3,0,0,1,0,64,1,200,158,95.90%,1,1,82.06%,17.94%
5,4x4,4,3,0,0,2,0,64,1,200,197,98.23%,1,2,96.00%,4.00%
5,4x4,4,3,0,0,3,0,64,1,200,197,98.44%,1,3,94.27%,5.73%
5,4x4,4,3,0,0,4,0,64,1,200,166,98.78%,1,4,94.47%,5.53%
5,4x4,4,3,0,0,6,0,64,1,139,88,98.45%,1,6,93.85%,6.15%
5,4x4,4,3,0,0,8,0,64,1,195,144,98.92%,1,8,94.35%,5.65%
,,,,,,,,,,,,,,,,
5,4x4,4,3,0,0,2,0,16,1,200,183,98.18%,1,2,67.93%,32.07%
5,4x4,4,3,0,0,2,0,32,1,,,,1,2,,
5,4x4,4,3,0,0,2,0,48,1,,,,1,2,,
5,4x4,4,3,0,0,2,0,64,1,200,197,98.23%,1,2,96.00%,4.00%
5,4x4,4,3,0,0,2,0,80,1,,,,1,2,,
5,4x4,4,3,0,0,2,0,96,1,,,,1,2,,
5,4x4,4,3,0,0,2,0,128,1,,,,1,2,,
,,,,,,,,,,,,,,,,
5,2x2,4,3,0,0,2,0,64,0,,,,1,2,,
5,3x3,4,3,0,0,2,0,64,1,200,197,98.23%,1,2,96.00%,4.00%
5,4x4,4,3,0,0,2,0,64,2,,,,1,2,,
,,,,,,,,,,,,,,,,
5,4x4,4,3,0,0,2,0,64,1,200,197,98.23%,1,2,96.00%,4.00%
5,4x4,4,3,0,0,2,0,64,1,200,195,84.07%,1,2,73.98%,26.02%
5,4x4,4,3,0,0,2,0,64,1,200,179,49.76%,1,2,38.03%,61.97%
,,,,,,,,,,,,,,,,
5,4x4,4,3,0,0,0,0,64,1,200,150,98.57%,0,0,98.50%,1.50%
5,4x4,4,3,0,0,0,0,64,1,200,200,89.13%,0,0,88.55%,11.45%
5,4x4,4,3,0,0,0,0,64,1,168,68,59.20%,0,0,56.98%,43.02%